micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
2617293,134.28,380.37,-1270.02,202.41,-35.19,34.09,-6.15,-25.35,34.80,
2637301,861.33,496.09,-917.97,256.37,-21.88,21.56,-5.40,-28.20,34.80,
2657311,810.55,454.10,-625.00,171.97,19.21,88.56,-5.25,-32.85,35.70,
2677318,-146.48,218.75,-987.79,149.48,-40.05,115.97,-5.25,-33.90,37.05,
2697323,281.74,132.81,-578.61,126.35,-61.42,73.91,-5.55,-36.15,38.40,
2717334,721.19,256.84,-1484.38,133.73,-54.64,56.00,-3.00,-39.30,37.20,
2737343,535.64,142.09,-888.18,206.66,-62.96,89.11,-2.10,-42.30,38.40,
2757350,208.50,-130.86,-398.44,156.93,-106.76,93.34,-0.45,-43.65,40.05,
2777361,-92.77,-262.21,-869.14,115.07,-69.51,59.65,1.20,-46.20,41.10,
2797370,417.48,-144.53,-1022.95,115.59,-38.98,24.49,2.10,-46.35,41.25,
2817380,637.21,-173.34,-1163.57,136.53,-83.07,46.85,2.55,-49.80,43.80,
2837385,291.99,-254.39,-729.00,134.60,-89.36,99.60,4.05,-50.25,45.90,
2857389,-295.90,-444.82,-491.21,101.07,-76.05,73.59,7.35,-51.45,47.85,
2877400,-77.15,-467.77,-804.69,67.04,-84.95,-11.80,6.45,-53.85,48.60,
2897409,224.12,-366.21,-1043.46,78.84,-62.47,10.55,8.70,-53.70,49.20,
2917415,131.84,-390.62,-774.41,91.27,-51.83,-8.56,8.70,-53.70,49.95,
2937422,255.86,-376.46,-1035.64,80.40,-88.09,28.15,8.10,-55.20,51.30,
2957432,-478.52,-489.75,-938.48,90.67,-91.92,29.86,10.05,-56.10,52.80,
2977440,567.38,-166.99,-809.08,62.87,-277.71,-14.18,11.10,-56.10,54.90,
2997449,32.23,-548.34,-895.51,76.63,-61.57,10.34,10.35,-56.10,54.90,
3017456,-158.69,-577.64,-797.85,95.04,-77.66,-5.30,12.15,-56.85,55.95,
3037461,-49.80,-569.34,-542.97,74.41,-36.00,20.44,12.90,-56.85,58.05,
3057467,-115.23,-559.57,-998.05,52.55,-72.34,0.66,13.50,-58.95,60.15,
3077475,-32.71,-588.38,-1064.94,62.95,-63.89,10.02,12.45,-56.10,59.70,
3097484,-316.89,-648.93,-733.40,82.64,-77.30,17.82,13.05,-59.10,61.05,
3117490,-273.93,-646.00,-604.98,64.12,-74.40,-1.68,15.00,-57.45,63.60,
3137495,-228.03,-640.62,-1021.48,71.04,11.10,-0.69,14.55,-57.90,64.65,
3157500,-412.11,-700.20,-440.92,85.07,42.58,-10.72,14.55,-60.00,64.65,
3177507,-278.81,-656.25,-601.07,42.69,39.83,-19.40,14.40,-58.80,66.15,
3197517,-104.49,-610.35,-684.57,39.16,88.40,-30.12,12.60,-60.30,67.95,
3217522,-251.95,-671.88,-778.81,92.12,74.75,-10.15,13.35,-61.05,68.55,
3237533,-271.97,-755.37,-588.87,68.09,82.58,-37.48,12.30,-60.60,69.60,
3257541,-80.08,-797.36,-675.78,61.60,96.61,-38.34,12.15,-59.70,69.75,
3277550,142.58,-760.25,-580.08,63.16,92.08,-27.27,10.35,-61.20,70.20,
3297557,52.73,-779.79,-661.13,57.85,101.42,-10.47,11.40,-60.75,71.25,
3317565,260.74,-856.93,-578.12,76.92,48.41,-26.55,10.95,-60.60,71.10,
3337574,3.91,-894.04,-400.88,55.08,149.86,19.59,9.45,-60.60,72.15,
3357580,-220.21,-867.68,-1090.82,17.86,250.70,-11.10,9.30,-60.75,72.30,
3377588,-174.80,-757.32,95.21,27.31,144.15,5.85,9.15,-60.60,72.45,
3397597,240.72,-766.11,-708.98,-1.51,136.81,12.11,8.70,-61.35,70.65,
3417601,4.88,-787.11,-842.29,43.18,253.98,38.11,8.55,-61.20,71.25,
3437611,-268.07,-812.01,-223.14,74.40,248.50,17.91,10.50,-61.65,71.70,
3457622,497.56,-799.32,-100.10,47.79,-19.05,-29.04,9.60,-61.50,72.60,
3477628,479.98,-827.64,-549.32,52.75,-47.18,42.55,9.15,-61.05,73.80,
