micros,aX,aY,aZ,gX,gY,gZ,
3128512,57.62,-16.11,-998.05,0.90,-2.87,-1.54,
3148522,66.89,-10.74,-1006.35,-2.02,1.24,-1.53,
3168527,55.18,-17.09,-1012.21,-0.37,1.28,0.27,
3188531,59.57,-9.77,-1012.21,2.41,0.52,0.06,
3208541,58.11,-14.65,-1027.83,-0.73,-1.19,2.24,
3228546,64.45,-8.79,-1014.65,0.31,0.69,1.21,
3248557,58.59,0.00,-1019.04,-0.46,-0.56,0.79,
3268568,65.43,-5.86,-1010.25,2.15,0.90,1.73,
3288576,53.71,-15.62,-1003.42,0.06,-0.76,0.73,
3308582,68.36,-14.16,-1016.60,-0.89,-1.77,-0.78,
3328586,56.64,-8.30,-1017.09,-2.32,-0.73,-2.78,
3348595,54.69,-1.46,-1008.30,0.92,-0.66,1.44,
3368601,49.32,1.95,-1008.79,0.64,-2.17,1.85,
3388610,60.55,-3.42,-1007.32,-1.31,0.96,1.36,
3408614,53.71,-6.35,-1021.97,1.77,0.96,-0.52,
3428622,52.25,-9.28,-1013.67,2.05,-0.47,1.05,
3448627,57.13,-9.77,-1003.42,0.50,-1.47,0.82,
3468631,74.71,-21.48,-1014.16,0.73,-0.44,1.19,
3488640,65.92,-13.67,-1008.79,0.55,-2.38,-1.22,
3508649,60.06,-2.44,-1009.28,1.02,-0.63,1.56,
3528654,59.57,-17.58,-1013.18,-0.27,-1.74,-0.60,
3548663,229.00,-89.36,-858.89,1.04,1.33,-0.09,
3568667,50.29,-0.98,-1035.64,-2.56,2.44,5.24,
3588678,-76.17,-22.95,-1004.39,-0.23,5.82,3.57,
3608685,28.81,-109.38,-941.89,0.92,-1.92,1.98,
3628695,77.64,3.42,-1000.00,0.76,0.63,0.20,
3648703,57.13,6.35,-1004.39,0.47,3.05,-0.95,
3668712,64.94,-9.28,-1014.65,0.53,1.16,0.21,
3688716,72.75,-4.88,-1008.79,1.54,1.66,0.41,
3708721,60.55,-15.62,-1002.44,-1.57,0.05,1.88,
3728727,64.94,-12.70,-1007.81,-0.34,-0.43,0.60,
3748733,76.17,-16.60,-1014.65,0.47,1.92,1.33,
3768742,62.01,-20.02,-1004.88,0.35,-2.00,-2.11,
3788752,64.94,3.91,-1021.00,-0.56,2.47,-0.73,
3808757,56.15,-10.74,-1021.00,1.10,-0.32,-2.75,
3828763,62.01,-18.07,-1007.81,1.48,2.12,1.79,
3848771,52.25,-8.79,-1011.23,3.05,-1.59,0.40,
3868780,69.34,-12.21,-1019.53,-1.68,0.99,0.15,
3888788,61.52,-18.07,-1015.62,-1.16,1.18,0.31,
3908798,63.96,-7.32,-1010.25,0.02,-0.06,0.49,
3928806,69.82,-8.79,-1006.35,1.73,2.40,0.26,
3948811,56.15,1.95,-1002.93,-1.97,-0.75,-1.51,
3968815,59.08,-7.81,-1029.79,-0.63,-1.57,2.92,
3988822,72.27,-15.62,-1021.00,0.09,-3.97,2.09,
4008830,61.52,-0.98,-1007.32,0.23,-1.59,-0.72,
4028837,61.52,-15.62,-1012.70,-0.72,0.90,0.34,
4048847,49.32,-1.95,-1017.58,0.81,0.52,-0.43,
4068854,52.73,-8.79,-1007.32,-0.18,0.63,0.61,
4088862,54.69,-15.14,-1015.14,0.44,-1.11,0.29,
4108871,56.64,4.39,-1013.18,-1.60,0.23,-0.81,
4128879,60.55,-7.32,-1011.72,0.96,0.81,-1.18,
4148889,59.08,-6.84,-1010.74,0.52,0.09,1.42,
4168895,71.78,-12.70,-1018.07,2.92,1.74,2.03,
4188903,60.55,-10.25,-1005.86,-1.21,-0.66,-0.53,
4208909,62.01,-0.98,-1008.79,-0.85,0.79,-0.08,
4228915,49.80,-1.95,-1008.79,0.26,-1.44,1.40,
4248923,60.55,-15.62,-1012.21,0.29,1.39,0.37,
4268928,58.11,-11.23,-1012.70,-2.67,1.92,-0.44,
4288935,65.43,7.32,-1011.72,-0.87,4.06,2.17,
4308943,61.52,-5.86,-1020.02,0.98,-0.85,1.07,
4328953,63.48,-9.28,-997.56,0.73,-1.97,-2.49,
4348961,60.55,-13.67,-1006.84,-2.11,0.18,-2.00,
4368966,65.43,-22.95,-1008.79,-0.63,0.89,-1.22,
4388971,66.41,-5.86,-1014.65,1.25,-4.53,0.46,
4408980,70.31,-8.79,-1014.65,-0.82,-1.83,1.63,
4428989,65.92,-3.42,-1020.02,-1.04,0.20,0.82,
4448995,72.27,-12.70,-1000.49,-1.02,1.85,0.87,
4469006,61.52,-4.39,-1016.11,1.22,-3.68,-1.18,
4489016,60.55,-14.16,-1012.21,-1.37,-2.50,-1.36,
4509022,69.34,-20.51,-1015.14,1.68,-1.18,-1.07,
4529028,62.01,0.49,-1003.42,-1.05,-0.50,0.02,
4549039,59.08,-10.74,-998.05,0.90,0.17,0.03,
4569050,64.94,-4.88,-1017.58,0.38,-0.35,0.79,
4589055,58.11,-11.23,-1008.30,0.29,-2.55,-0.63,
4609066,79.59,0.98,-1010.25,-1.13,-0.46,0.31,
4629071,61.52,-16.60,-1010.25,0.09,-2.41,0.52,
4649079,66.89,-15.62,-1017.09,0.85,-0.29,-0.40,
4669088,58.59,-17.09,-997.07,0.56,0.61,1.80,
4689098,61.52,-4.88,-1014.16,-0.69,-0.50,-0.78,
4709106,76.66,-3.91,-1003.91,-0.29,-1.45,0.52,
4729114,59.57,-17.58,-1022.46,0.75,-3.91,-0.17,
4749120,47.36,-9.77,-1011.72,1.07,-2.46,-2.14,
4769125,54.20,-16.11,-1027.34,-0.24,0.60,0.84,
4789131,38.09,-19.53,-1048.34,0.24,1.45,-1.65,
4809142,65.43,-18.55,-1003.91,1.88,0.89,0.46,
4829151,62.50,6.35,-1017.09,-1.27,-1.39,-0.56,
4849155,61.52,-1.46,-1016.60,-1.56,0.55,-1.44,
4869161,64.94,-14.65,-1023.44,0.15,0.26,0.03,
4889166,48.34,-6.35,-1009.77,1.04,-1.66,-0.66,
4909171,66.89,-11.23,-992.68,-0.53,-2.11,-2.02,
4929179,52.73,-8.79,-1007.81,-1.13,0.79,1.50,
4949183,43.46,-12.21,-1011.23,1.59,-1.30,3.15,
4969187,48.83,2.93,-1013.67,3.01,-2.66,2.46,
4989195,51.76,-20.51,-1004.39,-3.36,-2.09,0.70,
5009203,76.66,1.46,-1013.18,0.38,1.47,1.05,
5029209,44.92,-17.58,-1023.44,1.10,-5.33,1.22,
5049220,60.06,-29.30,-1047.36,1.42,-6.05,3.31,
5069227,52.73,-4.88,-1013.67,-2.12,-2.79,3.45,
5089231,42.48,-2.44,-1011.72,1.19,-2.17,-1.68,
5109240,59.08,-4.39,-1016.60,2.89,1.98,3.80,
5129245,37.11,2.44,-1006.35,-1.04,-1.51,0.27,
5149251,35.16,-10.74,-1027.34,0.90,-1.59,2.06,
5169257,50.29,-9.77,-1014.16,-0.67,-1.91,0.37,
5189265,37.60,-5.86,-1014.65,1.44,-3.57,0.61,
5209270,33.20,-7.32,-1021.48,2.24,0.18,-1.08,
5229276,53.22,-11.72,-1013.18,-0.73,-1.98,0.02,
5249282,41.50,-2.93,-1012.70,0.66,1.76,-1.01,
5269291,43.46,-13.67,-1017.58,2.20,0.49,0.43,
5289298,51.27,-5.86,-1022.46,1.02,-3.19,-1.65,
5309306,45.41,-10.74,-1009.77,-2.05,-0.46,-0.56,
5329312,28.32,-9.28,-1013.18,0.99,-2.58,1.04,
5349319,42.48,-7.81,-984.38,-7.54,-6.46,-4.50,
5369326,41.02,-14.16,-1017.58,1.07,-1.11,3.66,
5389331,25.39,-3.42,-1015.14,0.61,-1.54,-0.82,
5409340,50.78,-3.91,-1014.65,1.66,-1.24,0.20,
5429346,40.53,-6.84,-1015.14,-0.75,-3.08,0.76,
5449356,34.67,-3.91,-1015.14,1.83,0.90,-2.98,
5469365,33.20,-22.46,-1032.23,0.73,-1.16,-0.38,
5489374,35.16,-18.55,-997.56,0.44,-2.53,-0.56,
5509384,41.99,-11.72,-1017.58,2.38,-0.79,1.05,
5529395,34.18,-14.16,-1004.39,1.07,-0.11,0.03,
5549403,33.69,-11.72,-1009.77,0.06,-0.82,-2.52,
5569413,36.62,6.35,-1013.67,0.90,2.24,-0.29,
5589419,32.71,-16.11,-1010.25,0.06,0.53,-0.76,
5609429,35.16,-3.42,-996.09,-0.56,-2.27,1.56,
5629439,34.67,-16.60,-1007.81,-1.16,-1.01,0.08,
5649444,30.76,-8.79,-1045.41,-0.37,-1.18,1.04,
