micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1043590,33.20,833.01,-515.62,4.34,2.38,3.25,2.25,3.45,37.20,
1063600,21.48,846.68,-513.67,-0.93,4.81,3.76,1.35,2.10,38.85,
1083608,29.79,826.66,-520.51,1.69,1.92,1.01,1.80,4.20,36.45,
1103612,16.60,845.70,-526.86,-0.49,2.75,-0.99,2.70,3.15,36.75,
1123619,37.60,827.15,-537.11,0.69,0.56,0.32,2.40,3.90,37.80,
1143630,31.74,836.91,-521.00,-6.52,3.88,-3.27,0.60,3.60,37.35,
1163641,-56.15,825.20,-521.97,-19.44,26.12,8.99,0.45,3.00,37.20,
1183653,57.62,900.88,-479.00,-16.18,16.46,4.96,2.10,2.55,36.30,
1203663,48.83,837.40,-497.56,-6.09,0.90,17.10,-0.60,2.85,40.20,
1223674,45.90,836.43,-494.14,-0.44,-3.51,19.19,0.00,3.15,37.35,
1243686,41.02,822.27,-473.63,6.46,-6.29,11.37,0.00,2.55,37.05,
1263695,55.18,854.00,-488.77,9.21,-20.38,1.62,0.00,4.35,37.05,
1283704,75.20,809.08,-630.37,16.06,-32.99,15.02,-0.30,2.55,36.75,
1303714,86.43,921.39,-867.68,30.40,-4.63,18.14,2.25,3.45,36.90,
1323722,59.57,877.44,-480.47,35.39,7.48,-3.47,1.20,2.70,35.85,
1343734,75.68,827.15,-491.21,30.87,2.02,-4.76,0.30,2.55,36.75,
1363739,44.92,810.06,-492.19,22.09,1.89,-13.13,-0.15,1.50,38.25,
1383745,59.57,815.92,-525.39,19.31,5.54,-12.38,-0.60,0.60,36.00,
1403754,55.18,772.46,-636.23,11.80,5.40,-5.25,0.60,0.60,35.25,
1423763,45.90,813.48,-549.32,1.19,11.51,-0.05,1.35,0.30,36.75,
1443774,60.55,825.68,-585.45,7.19,10.09,-9.08,1.35,-0.30,35.70,
1463780,4.39,766.11,-589.84,8.81,12.20,5.76,0.15,1.20,36.15,
1483786,92.77,845.70,-523.44,7.69,10.64,9.71,-0.60,1.05,36.30,
1503795,47.85,752.93,-573.24,5.74,6.63,8.20,0.15,2.70,36.15,
1523803,47.85,815.43,-537.11,-11.28,8.05,36.90,0.30,0.00,36.30,
1543811,66.89,781.74,-586.91,14.53,7.13,7.68,-1.20,0.45,35.55,
1563822,80.08,815.92,-552.73,11.07,2.09,7.57,-1.35,-0.30,36.30,
1583829,80.57,808.11,-584.47,7.88,3.60,3.37,-0.75,1.50,36.90,
1603836,83.01,776.37,-606.93,3.91,-1.40,0.64,-1.50,-0.45,37.20,
1623841,89.84,820.31,-586.91,6.40,0.02,4.60,0.15,-0.15,35.55,
1643852,85.45,784.18,-577.64,0.24,-0.72,3.79,-0.60,0.30,33.60,
1663858,62.99,762.70,-583.98,-8.99,2.76,0.06,0.30,0.00,37.35,
1683863,81.54,784.67,-580.08,-3.60,10.41,1.05,-2.40,-0.60,37.80,
1703873,104.00,783.20,-564.45,-11.79,10.79,6.12,0.30,0.30,35.70,
1723882,109.86,793.95,-590.82,-8.15,17.91,-0.63,0.15,-0.90,34.80,
1743891,102.54,785.16,-641.11,-15.22,14.24,-3.77,-0.15,-0.15,35.85,
1763899,116.70,762.70,-632.81,-16.08,11.15,1.97,-1.35,0.30,36.75,
1783908,105.96,843.75,-531.74,-26.00,10.09,8.66,-2.55,1.20,35.85,
1803914,84.96,839.36,-531.74,-31.73,6.00,4.99,-1.05,0.60,36.00,
1823920,99.61,799.80,-562.99,-7.15,7.18,1.68,-2.10,1.35,36.00,
1843928,69.82,856.45,-541.99,-5.08,1.76,-5.10,-0.60,0.00,37.80,
1863937,94.24,813.48,-577.64,-7.13,2.23,-4.64,-1.50,0.90,36.45,
1883947,108.40,821.78,-534.67,-9.02,-3.19,0.56,-1.20,1.20,35.55,
1903955,112.79,871.09,-559.57,-19.51,-12.99,-1.11,-1.65,2.85,36.30,
1923960,64.94,811.04,-511.23,-15.60,-4.79,-17.07,-1.20,1.95,35.85,
1943969,153.81,789.55,-489.75,-5.34,-4.50,-24.40,-0.15,2.25,37.50,
1963978,88.38,785.64,-513.67,-3.45,-5.62,-30.72,-1.80,2.25,37.50,
1983984,98.63,798.83,-555.18,-5.19,-27.28,-6.05,-0.75,1.95,37.95,
2003989,-59.57,796.88,-470.70,-2.70,-14.52,-9.57,-1.65,2.85,36.75,
2023993,67.87,856.45,-473.63,-3.42,-12.21,-1.04,-0.75,3.45,36.45,
2044001,-2.44,691.89,-541.99,-7.92,-3.18,-2.46,0.00,2.55,35.70,
2064005,119.14,937.01,-577.64,-27.18,-0.47,6.23,-1.05,2.55,37.80,
2084014,-49.80,706.05,-456.05,-21.40,-6.60,-5.68,-0.15,4.50,37.95,
2104020,82.52,814.94,-508.30,-14.23,-4.52,7.88,-1.35,3.15,38.40,
2124025,120.61,887.21,-416.50,-9.82,-43.10,39.48,0.45,3.00,36.90,
2144031,135.25,858.40,-521.00,3.85,-53.66,16.40,-1.50,3.75,38.25,
2164038,158.69,971.19,-442.38,19.40,-32.23,8.31,0.45,4.20,37.50,
2184045,18.55,759.28,-559.08,13.05,34.49,19.73,2.25,4.20,37.20,
2204056,77.64,803.71,-518.07,-0.61,19.45,-16.40,1.20,3.45,39.00,
2224063,196.78,1039.06,-343.75,-5.77,22.72,-25.28,1.35,4.35,36.30,
2244072,29.79,862.79,-531.25,-2.35,32.60,-5.19,1.20,3.75,37.50,
2264077,46.88,881.35,-420.90,-6.66,1.79,-4.84,0.45,3.00,36.45,
2284087,-18.55,723.63,-577.15,17.22,-40.29,-48.40,0.00,5.10,38.10,
2304097,498.54,1462.89,-1104.98,5.92,-45.13,-8.02,1.05,3.90,35.70,
2324106,-113.77,710.45,-136.23,-1.15,-57.11,-24.56,1.20,4.50,37.50,
2344116,-170.41,688.48,-484.86,6.41,-33.53,-12.76,2.40,2.85,36.00,
2364122,13.18,781.74,-482.91,-3.91,-14.47,-15.59,3.30,1.95,37.20,
2384134,47.36,931.64,-524.90,-9.86,7.79,7.44,4.20,2.85,36.00,
2404142,-34.18,781.25,-700.68,-27.83,20.53,-5.57,4.05,3.00,36.90,
2424154,-19.53,756.35,-553.22,-64.40,70.96,-25.02,2.40,3.60,37.35,
2444163,-67.38,872.07,-386.72,-52.81,40.63,-22.92,1.50,3.45,37.95,
2464169,-24.41,886.23,-402.34,-14.46,17.92,1.66,1.65,5.40,38.10,
2484179,-21.00,908.20,-470.21,6.82,19.33,19.82,2.70,5.40,76.50,
2504185,-54.20,939.94,-380.86,15.39,0.99,38.64,1.65,5.10,38.40,
2524190,22.46,925.29,-238.77,19.04,-49.77,36.58,0.00,5.10,38.40,
2544197,59.08,869.14,-379.39,16.75,-57.65,33.01,-36.75,6.30,37.50,
2564207,62.99,949.22,-225.59,21.51,-66.02,15.40,1.35,4.65,38.10,
2584216,38.09,827.15,-666.50,-0.41,-72.14,71.77,2.40,3.15,37.35,
2604223,-48.34,848.14,-578.61,8.56,23.85,30.03,0.45,4.80,38.55,
2624233,47.36,693.85,-727.05,-32.50,99.04,-31.68,1.80,1.95,36.90,
2644243,104.49,797.85,-569.34,8.43,43.16,-16.00,2.25,4.50,38.25,
2664248,107.91,812.01,-490.72,-4.63,25.63,3.94,-0.15,4.50,37.50,
2684254,68.85,785.16,-422.36,-3.91,9.80,2.60,1.20,5.25,37.50,
2704263,-23.44,823.24,-575.20,-7.39,-0.96,14.89,1.80,4.50,37.95,
2724269,27.34,841.31,-539.06,-5.74,-6.89,-10.00,0.75,4.80,38.55,
2744281,6.84,877.44,-516.11,-32.31,2.44,-15.39,0.75,4.20,37.95,
2764287,83.98,875.49,-478.03,6.35,-1.01,41.82,0.15,3.00,40.05,
2784295,49.32,930.66,-473.14,7.54,5.42,37.85,-0.15,3.75,38.25,
2804304,38.57,832.03,-562.01,7.73,6.67,70.11,0.00,3.90,37.05,
2824310,109.38,875.98,-450.68,-2.87,2.89,41.13,0.60,3.90,38.10,
2844315,151.86,854.98,-553.71,-8.00,2.15,13.11,0.75,3.75,37.95,
2864321,58.11,831.05,-540.04,-20.81,5.88,10.24,-1.20,3.00,37.20,
2884328,93.26,826.17,-512.70,-20.96,27.36,-9.53,0.60,5.10,39.45,
2904334,122.07,804.69,-406.74,-13.36,-1.22,-16.40,-1.80,4.50,37.50,
2924339,97.66,775.88,-509.77,0.02,-16.27,-21.63,-1.80,3.75,39.30,
2944344,68.36,822.27,-416.02,2.58,-37.28,2.55,-0.30,5.40,38.40,
2964355,60.06,859.86,-412.60,9.37,-27.68,-14.46,0.60,4.65,38.10,
2984363,309.08,889.16,-344.73,30.12,-33.74,-14.81,1.20,4.80,37.95,
3004369,191.41,852.05,-579.10,15.40,-3.24,-1.18,2.55,4.80,38.55,
3024378,178.22,855.47,-670.41,0.72,37.36,23.05,2.25,4.50,37.50,
3044387,40.53,836.91,-520.51,-6.70,51.97,20.43,-0.60,3.60,37.35,
3064396,-19.53,813.48,-488.28,-18.08,24.92,6.05,0.30,3.90,39.45,
3084406,-1.95,792.48,-394.04,-3.04,-12.53,-11.65,-0.30,4.65,38.10,
3104417,26.86,909.67,-489.26,1.25,-6.14,3.11,-1.05,3.90,38.10,
3124424,73.24,857.42,-498.05,7.71,29.76,8.93,-1.65,2.85,40.20,
3144434,100.59,896.00,-414.55,8.52,45.77,23.30,-3.15,2.85,40.20,
3164440,99.61,840.33,-427.25,-8.56,37.59,12.98,-1.20,6.00,39.30,
3184444,179.69,803.71,-450.68,0.89,14.27,-3.80,-3.60,4.50,37.50,
3204450,120.61,814.45,-471.19,-11.60,0.93,-18.70,-1.50,3.75,39.60,
3224460,123.05,872.07,-463.87,-12.89,-1.60,-19.24,-2.55,4.20,41.40,
3244467,145.02,713.87,-474.12,-13.73,2.89,-9.40,-4.35,4.50,41.10,
3264477,226.07,831.54,-652.34,-16.29,11.57,-2.64,-3.00,6.00,39.30,
3284486,161.13,895.02,-522.95,-10.70,45.37,-10.96,-1.20,6.00,39.30,
3304495,120.61,845.21,-352.54,-6.66,33.82,13.82,-2.70,5.40,39.45,
3324504,-29.79,810.06,-515.14,-17.83,-6.73,11.13,-3.30,4.20,40.65,
3344512,207.03,845.21,-507.81,22.27,-33.60,-15.13,-3.15,5.10,39.75,
3364521,202.15,983.89,-367.19,42.73,6.34,-11.92,-3.15,5.10,39.15,
3384529,190.92,878.42,-454.10,41.71,-7.16,20.90,-4.20,3.90,40.50,
3404541,286.62,867.68,-412.60,24.27,-14.61,43.56,-2.40,3.90,39.15,
3424548,126.95,829.10,-449.22,25.56,-39.57,37.25,-3.45,5.10,38.40,
3444555,114.26,804.69,-507.32,1.15,-65.42,17.27,-3.00,2.70,38.25,
3464566,174.80,743.65,-709.47,9.39,-95.28,-21.71,-3.00,3.75,37.20,
3484571,192.87,823.24,-499.51,27.94,-50.38,15.15,-1.20,1.20,37.50,
3504581,96.19,756.84,-557.13,27.74,-39.44,-39.42,-0.45,3.00,37.95,
3524593,123.05,843.26,-538.09,16.26,-34.64,-20.73,-0.30,2.55,37.35,
3544602,142.58,788.57,-541.50,20.29,-23.82,-18.18,1.20,1.95,38.25,
3564609,120.61,776.37,-627.93,-5.13,-64.89,-8.06,1.65,2.85,36.30,
3584618,8.30,869.63,-346.19,6.17,-34.98,-7.19,1.35,3.15,37.05,
3604627,86.91,848.14,-539.06,4.21,-11.44,-17.56,3.00,2.25,36.45,
3624634,97.66,838.87,-509.77,-4.93,-17.25,3.66,2.10,2.55,36.75,
3644645,78.61,819.82,-588.38,-5.83,6.61,-9.73,1.80,1.20,36.90,
3664650,60.06,837.40,-542.48,-14.66,9.10,-4.82,4.05,4.20,37.95,
