micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1043397,-333.50,126.46,-897.95,-9.48,-2.82,-0.84,1.80,-33.75,30.00,
1063393,-320.80,119.14,-881.84,-18.05,-0.11,1.33,1.20,-34.80,31.95,
1083401,-291.50,104.98,-947.75,-22.31,6.21,4.58,1.35,-33.60,30.15,
1103412,-281.74,103.03,-963.87,-17.50,40.38,18.32,3.30,-33.75,31.35,
1123417,-262.70,120.61,-841.80,-1.63,67.19,21.36,1.05,-32.85,30.15,
1143427,-273.93,122.56,-953.61,23.97,49.28,-0.78,1.50,-33.00,31.35,
1163437,-258.79,137.21,-1007.81,21.95,22.09,-16.24,1.05,-35.10,29.40,
1183446,-191.89,138.67,-1063.48,23.30,20.15,-16.24,-1.20,-35.55,30.90,
1203456,-180.66,111.82,-1117.68,15.45,57.94,-0.56,-0.15,-33.75,30.60,
1223467,-360.35,126.46,-858.40,-17.92,11.30,-9.95,0.00,-36.15,31.50,
1243474,-243.65,142.58,-912.60,-38.58,-44.95,-15.07,-2.10,-35.10,30.75,
1263478,-246.09,109.86,-917.97,-31.76,-61.16,-5.15,-0.45,-35.25,28.50,
1283486,-224.12,140.62,-855.96,5.89,-43.02,-7.76,1.80,-34.80,30.00,
1303493,-229.00,134.77,-822.27,11.94,1.73,2.05,0.30,-34.65,30.75,
1323502,-229.00,124.51,-936.52,19.91,32.23,7.86,0.75,-33.00,30.60,
1343512,-239.26,132.32,-928.71,20.46,39.28,6.58,0.00,-34.35,32.55,
1363518,-331.54,139.16,-960.94,11.37,38.58,8.96,-0.30,-35.10,31.50,
1383522,-373.05,169.92,-933.59,-6.61,-1.40,5.30,-1.20,-36.60,30.90,
1403533,-320.31,149.90,-923.34,0.24,4.61,2.85,0.30,-35.40,31.50,
1423542,-260.25,93.75,-1052.73,9.56,13.10,4.31,-1.20,-35.25,31.65,
1443549,-135.25,63.48,-1031.74,14.31,24.72,-0.79,-0.75,-34.50,31.65,
1463560,-139.16,80.08,-903.32,15.69,45.27,-7.60,-0.30,-35.10,30.45,
1483567,-141.11,104.00,-897.95,18.73,45.42,-2.76,-3.30,-38.10,30.90,
1503579,-165.04,121.58,-894.04,22.92,39.16,0.69,-3.15,-35.40,31.50,
1523589,-289.06,152.83,-835.94,21.47,13.13,2.32,-1.50,-35.55,30.90,
1543596,-203.61,98.14,-886.23,2.38,-23.40,3.44,-3.15,-36.15,30.75,
1563605,-144.04,62.50,-1001.95,-18.32,-23.44,-0.61,-1.80,-36.30,31.65,
1583615,-375.98,90.33,-853.03,-33.24,-19.54,-19.37,-2.70,-36.90,32.85,
1603621,-159.67,114.75,-858.40,-52.18,-64.20,-19.31,-2.70,-34.65,30.45,
1623627,-155.27,83.01,-1074.22,-30.43,-31.80,0.46,-2.10,-36.90,32.25,
1643632,-243.16,71.29,-997.56,9.31,-22.53,-6.66,-1.65,-33.15,30.15,
1663644,-184.08,114.75,-958.98,21.15,-20.60,-2.11,-1.05,-35.10,30.75,
1683649,-203.61,77.15,-898.44,11.04,-7.97,10.99,0.30,-34.35,30.45,
1703656,-193.85,31.74,-814.94,4.24,-4.44,8.23,0.45,-37.05,30.90,
1723668,-255.86,50.29,-783.69,4.73,-13.88,3.95,-0.75,-33.45,30.30,
1743675,-248.54,39.06,-804.20,15.83,-14.95,2.67,-1.05,-34.65,28.65,
1763682,-300.29,67.87,-852.05,27.85,-15.07,-0.46,-0.30,-33.90,31.20,
1783693,-303.22,105.96,-835.45,27.65,-21.92,-0.23,-0.60,-36.90,32.85,
1803700,-254.39,103.52,-836.91,17.95,-41.08,-0.87,0.00,-36.15,30.75,
1823706,-148.93,22.95,-814.45,3.25,-46.17,0.78,0.45,-36.60,30.30,
1843711,-138.67,2.44,-813.48,15.04,-53.44,-10.52,2.55,-36.00,30.30,
1863722,-188.96,-24.90,-762.21,30.96,-10.37,-1.68,1.65,-37.20,30.75,
1883735,-183.59,11.72,-773.93,40.21,-12.56,5.15,2.55,-37.05,30.90,
1903746,-254.88,27.83,-875.00,46.23,-39.30,10.03,3.30,-37.80,31.35,
1923753,-365.72,26.37,-745.12,58.26,-80.89,-6.85,3.60,-39.30,32.70,
1943763,-336.91,-45.90,-524.41,39.79,-120.73,-14.27,4.35,-39.30,32.40,
1963775,-137.21,44.92,-850.10,41.73,-50.43,-29.07,7.05,-39.45,32.85,
1983786,-347.66,22.46,-734.86,8.38,-0.92,-16.27,8.10,-41.55,31.80,
2003801,-343.75,-0.98,-838.38,-23.11,19.21,-5.37,6.60,-42.00,32.85,
2023815,-339.84,-34.18,-848.14,-60.98,35.15,-11.54,7.95,-40.65,32.40,
2043826,-319.34,3.42,-862.79,-76.60,9.97,-27.54,6.60,-40.20,31.80,
2063837,-229.49,76.66,-856.93,-60.66,-11.18,-29.79,4.95,-37.20,30.15,
2083846,-320.80,57.62,-879.39,-34.69,-25.82,12.20,5.70,-38.85,32.70,
2103853,-384.77,83.50,-808.11,-1.31,-7.24,21.59,7.50,-37.80,31.35,
2123868,-478.52,51.27,-867.68,14.87,-35.22,4.06,7.35,-37.65,31.80,
2143875,-399.90,89.36,-830.57,4.29,-40.03,-13.44,7.95,-38.10,30.60,
2163891,-445.31,14.65,-691.41,-5.68,-54.34,-16.40,8.40,-39.45,30.75,
2183897,-390.62,115.72,-774.41,-39.74,-40.92,-4.78,11.10,-36.00,32.70,
2203902,-453.12,15.62,-765.14,-27.30,-46.37,14.64,10.65,-37.80,31.65,
2223909,-454.59,-180.18,-865.23,-28.55,-17.13,11.21,9.00,-37.05,32.70,
2243925,-471.19,-22.46,-985.35,14.00,-1.18,-21.34,9.90,-37.20,31.20,
2263931,-473.63,207.03,-826.17,29.18,15.19,2.08,10.95,-36.90,31.50,
2283945,-563.96,-3.91,-881.35,57.40,-31.98,1.28,10.35,-37.80,31.65,
2303958,-633.79,11.23,-616.21,78.93,-54.84,4.15,13.05,-36.90,32.25,
2323964,-219.24,1024.90,-2246.58,28.64,-30.35,-22.46,10.95,-41.25,35.25,
2343969,-311.04,144.53,-742.19,48.93,2.31,-0.24,10.65,-41.10,34.80,
2363980,-413.09,13.67,-1058.11,41.63,9.77,-32.20,11.85,-41.85,31.95,
2383990,-690.92,-59.08,-870.61,-4.69,25.54,-17.57,12.15,-42.90,34.80,
2404001,-609.38,21.48,-910.16,-27.89,-1.71,-20.06,12.30,-42.30,33.30,
2424008,-514.65,21.97,-818.36,-37.34,-29.48,-18.43,10.95,-42.30,32.25,
2444012,-512.70,-12.70,-818.85,-84.60,-47.37,-51.94,13.80,-41.55,32.55,
2464017,-552.73,170.90,-766.11,-208.52,15.04,-34.69,12.00,-40.20,32.55,
2484028,-773.93,345.70,-768.55,-368.14,106.72,-28.37,11.40,-34.80,30.30,
2504035,-780.27,404.30,-1098.63,-361.10,149.33,-14.27,9.30,-28.95,30.30,
2524046,-597.17,501.95,-1329.59,-264.78,312.72,-96.58,6.45,-23.55,26.85,
2544053,-374.51,291.99,-1357.91,-195.85,205.98,-77.33,2.40,-19.65,27.00,
2564063,30.27,957.03,-1223.63,-93.31,77.76,-55.54,0.45,-17.25,25.80,
2584074,-268.55,306.15,-1039.55,-79.02,103.76,33.68,-2.55,-17.25,28.20,
2604081,-133.79,558.11,-1130.37,-122.34,155.94,77.22,-6.60,-13.05,31.20,
2624090,-100.10,454.10,-938.96,-124.89,167.56,83.62,-8.55,-11.10,28.95,
2644098,-75.68,515.14,-925.29,-93.33,103.59,33.10,-12.45,-9.60,31.35,
2664107,-179.20,720.21,-931.15,-74.72,53.28,38.00,-12.30,-8.40,31.20,
2684119,-244.63,565.43,-606.45,-123.97,7.11,45.19,-13.20,-6.30,31.65,
2704127,-36.13,635.74,-639.65,-157.59,-105.30,26.79,-13.35,-5.40,32.85,
2724133,-80.08,611.82,-1264.16,-139.18,-167.54,5.13,-11.85,-4.20,33.00,
2744142,-39.06,778.32,-922.85,-54.82,-150.63,-11.83,-9.30,-2.70,33.75,
2764153,-42.97,749.51,-772.46,10.60,-79.82,22.58,-7.65,-1.35,32.85,
2784158,-182.13,661.62,-773.93,38.12,-7.47,20.05,-7.50,-0.90,33.00,
2804166,-148.93,648.44,-740.72,38.31,47.31,-12.52,-7.65,-2.10,33.30,
2824178,-67.38,910.16,-1412.60,84.49,84.21,-58.21,-7.05,-2.10,33.60,
2844188,63.48,1185.06,-435.55,65.95,-46.11,-46.84,-7.05,-3.15,32.55,
2864199,-79.59,794.43,-765.62,-3.05,-36.95,26.96,-6.15,-5.25,33.00,
2884210,-97.17,736.82,-772.95,8.96,-66.03,28.17,-7.35,-3.15,32.25,
2904219,-314.45,684.57,-927.25,55.39,-32.96,-27.04,-6.00,-3.90,32.25,
2924226,-501.46,515.14,-699.71,45.62,-3.11,-30.47,-3.75,-5.10,31.50,
2944238,-455.08,466.31,-715.82,14.21,-1.15,-30.24,-5.55,-6.45,31.50,
2964249,-361.82,525.88,-647.95,-13.31,24.92,-28.05,-4.50,-7.20,30.75,
2984258,-253.42,608.89,-608.89,-38.58,49.82,-8.76,-4.20,-5.10,32.55,
3004270,-214.36,640.62,-753.91,-51.15,66.14,15.91,-4.50,-5.10,32.85,
3024279,-229.98,608.40,-844.24,-33.62,23.21,4.90,-5.70,-3.75,32.70,
3044290,-271.97,549.80,-845.21,-14.37,-49.69,-15.34,-7.20,-4.20,33.45,
3064298,-307.62,568.85,-780.76,-3.11,-94.64,-25.68,-4.95,-3.60,32.55,
3084303,-150.88,626.46,-713.87,-11.05,-70.09,-4.21,-3.75,-4.65,33.30,
3104311,-108.89,636.72,-753.42,-15.53,7.82,-0.17,-3.75,-3.15,33.90,
3124319,-146.00,656.25,-800.78,-23.95,42.69,-0.20,-3.60,-5.55,34.05,
3144329,-199.22,665.04,-552.73,-17.80,18.32,-10.31,-2.70,-3.60,32.55,
3164341,-140.14,683.59,-640.62,-15.10,-3.11,-1.19,-4.05,-3.45,32.70,
3184351,-211.43,669.92,-791.99,-13.39,-14.43,9.25,-3.00,-1.95,32.70,
3204360,-250.49,660.16,-720.21,5.54,-22.27,9.45,-2.70,-2.85,32.85,
3224369,-301.76,607.91,-612.79,-0.09,-16.81,9.22,-3.00,-3.75,33.00,
3244376,-278.81,620.12,-621.58,-17.95,-17.59,-1.89,-1.65,-2.10,32.55,
3264387,-249.51,642.58,-671.39,-16.24,-22.78,-6.76,-2.70,-2.10,32.55,
3284394,-321.29,650.88,-720.21,-9.83,-25.44,-10.17,-1.80,-1.95,32.40,
3304400,-303.71,633.79,-683.59,-6.78,-99.54,-29.11,-0.60,-2.55,33.60,
3324406,-347.66,656.25,-760.74,-12.49,-123.62,-35.28,-0.15,-2.70,33.75,
3344414,-365.23,643.07,-744.63,-11.40,-72.06,-13.89,1.50,-1.20,34.05,
3364425,-281.74,672.85,-656.25,-4.09,-32.44,4.50,2.40,-1.80,34.20,
3384434,-131.35,739.75,-665.04,-18.61,35.45,28.34,3.60,-1.95,34.50,
3404440,-160.16,766.11,-704.10,-16.82,84.96,46.84,2.70,-1.05,32.85,
3424456,-529.30,540.04,-646.00,-5.31,38.93,32.32,1.65,0.60,33.30,
3444463,-355.96,609.38,-625.00,15.98,1.51,8.95,0.45,-0.45,34.05,
3464475,-327.15,699.22,-675.29,-7.51,-3.95,5.48,-0.15,-1.20,33.75,
3484482,-304.69,626.46,-656.25,-5.83,0.47,9.02,0.60,-0.60,33.90,
3504495,-308.11,615.23,-586.43,-11.30,26.63,18.66,0.00,-1.05,33.30,
3524504,-339.84,560.55,-673.34,-10.11,22.47,19.60,-1.35,-1.80,36.00,
3544517,-339.36,613.77,-785.64,-14.34,75.42,32.00,-0.15,-1.20,34.50,
3564523,-276.37,550.78,-679.69,-17.59,122.15,22.41,-1.65,-0.60,33.90,
3584528,-450.68,715.33,-679.20,33.19,149.42,29.60,-4.20,-0.60,34.20,
3604538,-362.79,572.27,-509.77,-2.09,83.80,-9.16,-4.05,-0.45,35.55,
3624548,-168.46,631.35,-460.45,-46.12,28.69,-45.83,-8.70,-1.35,36.30,
3644558,19.53,765.62,-700.68,-38.41,17.15,-51.77,-7.95,-0.45,33.75,
3664574,196.78,961.91,-718.75,-91.25,52.46,-31.95,-7.35,0.00,34.65,
3684579,-30.27,820.80,-790.04,-71.02,75.51,4.52,-9.15,0.30,37.05,
3704593,-229.98,740.72,-571.29,-60.61,42.03,-3.79,-9.15,1.80,38.40,
3724604,-231.45,780.27,-533.69,-29.76,-36.41,-21.27,-9.45,2.55,38.10,
3744612,-185.06,805.66,-416.50,5.47,-93.51,-28.31,-9.15,5.10,36.75,
3764617,-239.26,788.57,-401.86,30.92,-144.03,-46.84,-6.45,4.80,37.20,
3784626,-459.47,461.91,-555.18,59.73,-161.04,-55.44,-4.20,3.60,36.30,
3804631,-340.33,778.32,-636.23,32.85,-119.07,-38.70,-1.65,4.35,36.30,
